worker_id,zone_risk_tier,claim_frequency_30d,claim_amount_zscore,location_jump_count,gps_spoof_probability,policy_tenure_weeks,earnings_deviation,claim_timing_anomaly,peer_claim_correlation,device_change_count,login_anomaly_score,route_deviation_score,delivery_speed_anomaly,duplicate_claim_score,network_fraud_ring_score,barometric_consistency,zone_transition_anomaly,claim_photo_similarity_score,platform_switch_frequency,behavioral_baseline_deviation,label_fraud,fraud_type
WK0008221,5,0,-1.506,0,0.123,54,0.156,0.252,0.063,1,0.069,0.214,0.169,0.021,0.078,0.918,0.178,0.229,0.136,0.002,0,none
WK0008222,1,4,-0.781,0,0.048,40,-0.086,0.008,0.27,1,0.226,0.184,0.018,0.12,0.065,0.922,0.117,0.053,0.06,0.013,0,none
WK0008223,5,0,1.453,2,0.045,164,0.182,0.034,0.007,1,0.082,0.238,0.151,0.013,0.035,0.908,0.114,0.059,0.175,0.181,0,none
WK0008224,1,0,-1.358,2,0.133,52,0.088,0.265,0.336,1,0.193,0.019,0.128,0.099,0.102,0.832,0.047,0.015,0.065,0.009,0,none
WK0008225,2,1,-0.421,1,0.059,44,0.221,0.235,0.284,1,0.06,0.056,0.182,0.129,0.121,0.91,0.065,0.028,0.137,0.031,0,none
WK0008226,1,0,-1.737,1,0.132,94,-0.02,0.183,0.151,0,0.023,0.21,0.24,0.073,0.174,0.827,0.082,0.147,0.17,0.082,0,none
WK0008227,2,1,1.046,2,0.1,12,-0.276,0.207,0.259,1,0.121,0.23,0.001,0.103,0.085,0.822,0.171,0.272,0.044,0.094,0,none
WK0008228,4,0,0.332,1,0.053,41,-0.212,0.201,0.264,1,0.161,0.074,0.202,0.01,0.136,0.95,0.026,0.054,0.11,0.158,0,none
WK0008229,5,1,1.208,0,0.035,75,-0.004,0.263,0.294,0,0.002,0.235,0.069,0.026,0.136,0.93,0.009,0.022,0.02,0.098,0,none
WK0008230,1,0,0.183,2,0.11,78,-0.081,0.02,0.23,1,0.124,0.153,0.16,0.08,0.149,0.912,0.046,0.216,0.013,0.155,0,none
WK0008231,1,1,-1.445,1,0.125,154,0.281,0.219,0.069,1,0.016,0.227,0.052,0.075,0.099,0.85,0.02,0.263,0.114,0.204,0,none
WK0008232,3,2,1.094,19,0.821,95,-0.343,0.079,0.363,1,0.232,0.799,0.113,0.132,0.137,0.801,0.934,0.234,0.121,0.014,1,location_fraud
WK0008233,1,0,-0.571,1,0.115,85,-0.208,0.184,0.322,1,0.176,0.026,0.169,0.023,0.152,0.849,0.044,0.095,0.012,0.034,0,none
WK0008234,5,1,0.683,0,0.031,171,0.049,0.014,0.245,1,0.082,0.114,0.155,0.105,0.111,0.851,0.158,0.123,0.032,0.161,0,none
WK0008235,2,1,0.441,2,0.036,26,0.204,0.114,0.246,1,0.119,0.065,0.013,0.066,0.051,0.856,0.026,0.003,0.071,0.02,0,none
WK0008236,1,1,0.196,0,0.078,145,-0.059,0.069,0.203,0,0.052,0.155,0.201,0.1,0.027,0.956,0.082,0.147,0.139,0.04,0,none
WK0008237,3,1,0.324,1,0.034,113,0.145,0.054,0.169,1,0.091,0.156,0.182,0.129,0.121,0.809,0.16,0.109,0.133,0.13,0,none
WK0008238,1,2,0.281,0,0.293,49,-0.081,0.011,0.095,0,0.171,0.213,0.116,0.091,0.162,0.967,0.17,0.266,0.166,0.132,0,none
WK0008239,4,1,1.185,0,0.284,79,0.08,0.188,0.311,1,0.052,0.194,0.204,0.058,0.095,0.931,0.113,0.158,0.097,0.173,0,none
WK0008240,3,0,1.131,0,0.023,195,-0.109,0.083,0.033,0,0.203,0.21,0.085,0.125,0.088,0.905,0.109,0.192,0.174,0.163,0,none
WK0008241,4,0,-0.039,1,0.11,62,0.282,0.009,0.223,0,0.089,0.22,0.027,0.036,0.094,0.827,0.042,0.279,0.048,0.14,0,none
WK0008242,4,0,-0.601,0,0.048,97,-0.435,0.167,0.278,0,0.209,0.045,0.01,0.065,0.033,0.884,0.037,0.17,0.004,0.223,0,none
WK0008243,5,0,1.959,2,0.191,160,-0.024,0.183,0.321,0,0.164,0.009,0.095,0.035,0.138,0.985,0.013,0.267,0.077,0.113,0,none
WK0008244,5,1,0.444,0,0.004,118,-0.117,0.206,0.095,1,0.171,0.013,0.001,0.139,0.169,0.927,0.076,0.02,0.134,0.08,0,none
WK0008245,4,1,1.68,2,0.039,98,-0.168,0.211,0.259,0,0.014,0.184,0.101,0.004,0.132,0.992,0.062,0.077,0.127,0.011,0,none
WK0008246,2,1,1.417,2,0.084,83,-0.207,0.258,0.236,0,0.059,0.234,0.083,0.088,0.005,0.996,0.062,0.158,0.14,0.156,0,none
WK0008247,4,2,0.643,0,0.199,48,-0.082,0.007,0.361,0,0.075,0.027,0.155,0.135,0.035,0.933,0.061,0.079,0.162,0.164,0,none
WK0008248,4,1,0.58,1,0.12,196,0.055,0.093,0.082,1,0.094,0.071,0.087,0.056,0.066,0.819,0.143,0.156,0.107,0.136,0,none
WK0008249,4,1,1.74,0,0.049,130,0.257,0.192,0.282,1,0.23,0.073,0.063,0.055,0.024,0.916,0.033,0.129,0.004,0.155,0,none
WK0008250,4,3,1.83,1,0.167,4,0.117,0.179,0.166,1,0.115,0.255,0.149,0.036,0.135,0.975,0.098,0.0,0.013,0.217,0,none
WK0008251,1,2,-0.32,1,0.285,43,0.347,0.112,0.292,1,0.144,0.244,0.238,0.108,0.028,0.851,0.047,0.072,0.056,0.122,0,none
WK0008252,1,2,-0.346,1,0.049,115,0.103,0.22,0.006,0,0.041,0.126,0.076,0.138,0.156,0.946,0.018,0.147,0.007,0.206,0,none
WK0008253,5,3,-0.852,1,0.093,80,-0.111,0.041,0.299,1,0.161,0.167,0.195,0.123,0.005,0.813,0.088,0.004,0.062,0.051,0,none
WK0008254,5,0,0.137,0,0.185,63,-0.134,0.149,0.089,1,0.173,0.001,0.03,0.06,0.011,0.827,0.04,0.216,0.052,0.115,0,none
WK0008255,5,0,-2.315,1,0.163,195,0.2,0.031,0.252,1,0.085,0.079,0.042,0.124,0.169,0.894,0.177,0.011,0.112,0.161,0,none
WK0008256,1,0,-0.816,0,0.257,101,-0.012,0.211,0.129,0,0.083,0.161,0.098,0.039,0.168,0.816,0.16,0.199,0.07,0.161,0,none
WK0008257,2,0,0.782,0,0.068,152,0.246,0.002,0.046,0,0.136,0.103,0.054,0.088,0.127,0.879,0.035,0.269,0.062,0.206,0,none
WK0008258,3,0,-0.767,0,0.233,126,0.666,0.108,0.223,0,0.025,0.105,0.041,0.054,0.172,0.954,0.059,0.192,0.111,0.032,0,none
WK0008259,2,2,2.877,1,0.159,150,0.462,0.19,0.001,1,0.21,0.271,0.067,0.017,0.108,0.978,0.074,0.118,0.054,0.093,0,none
WK0008260,3,0,-0.918,2,0.014,83,-0.026,0.024,0.24,0,0.149,0.188,0.05,0.05,0.142,0.969,0.082,0.218,0.052,0.1,0,none
WK0008261,2,0,-0.571,2,0.185,10,0.056,0.278,0.324,1,0.05,0.076,0.112,0.104,0.05,0.824,0.027,0.186,0.106,0.032,0,none
WK0008262,3,3,-1.01,2,0.03,17,-0.195,0.043,0.335,0,0.047,0.142,0.147,0.111,0.049,0.947,0.157,0.246,0.022,0.079,0,none
WK0008263,1,1,-0.622,2,0.024,158,0.399,0.061,0.04,1,0.075,0.063,0.008,0.051,0.11,0.886,0.078,0.23,0.092,0.237,0,none
WK0008264,5,1,2.136,1,0.021,98,0.116,0.251,0.249,0,0.031,0.234,0.203,0.09,0.014,0.879,0.146,0.18,0.033,0.153,0,none
WK0008265,5,0,-0.194,2,0.046,144,0.189,0.03,0.154,0,0.069,0.103,0.14,0.134,0.085,0.92,0.173,0.002,0.167,0.049,0,none
WK0008266,1,0,-1.078,1,0.046,10,-0.074,0.171,0.326,1,0.165,0.209,0.011,0.072,0.126,0.801,0.118,0.246,0.137,0.149,0,none
WK0008267,5,1,-1.627,0,0.028,172,-0.088,0.211,0.231,1,0.088,0.2,0.034,0.106,0.043,0.815,0.093,0.045,0.023,0.177,0,none
WK0008268,5,2,2.722,1,0.02,62,0.079,0.178,0.251,1,0.129,0.266,0.221,0.109,0.179,0.902,0.162,0.217,0.014,0.167,0,none
WK0008269,3,0,0.249,0,0.286,107,-0.245,0.279,0.029,1,0.19,0.275,0.219,0.122,0.106,0.903,0.14,0.167,0.091,0.038,0,none
WK0008270,2,1,1.171,0,0.298,73,-0.048,0.136,0.274,0,0.217,0.171,0.217,0.094,0.028,0.849,0.171,0.199,0.115,0.182,0,none
WK0008271,1,1,0.961,2,0.049,114,0.089,0.026,0.345,0,0.124,0.141,0.194,0.031,0.103,0.868,0.054,0.024,0.108,0.178,0,none
WK0008272,3,1,0.403,2,0.074,15,-0.256,0.178,0.088,1,0.232,0.073,0.049,0.017,0.075,0.997,0.163,0.175,0.156,0.157,0,none
WK0008273,3,0,-2.017,1,0.012,92,0.019,0.014,0.036,0,0.074,0.217,0.054,0.068,0.056,0.809,0.12,0.221,0.132,0.059,0,none
WK0008274,3,0,0.656,1,0.216,41,2.536,0.004,0.11,1,0.22,0.157,0.747,0.0,0.005,0.847,0.18,0.264,0.091,0.977,1,earnings_manipulation
WK0008275,5,1,1.833,2,0.182,10,-0.114,0.245,0.174,0,0.05,0.127,0.112,0.084,0.179,0.96,0.073,0.251,0.044,0.024,0,none
WK0008276,3,0,1.585,1,0.028,122,-0.066,0.077,0.355,0,0.076,0.006,0.092,0.084,0.14,0.909,0.007,0.201,0.176,0.049,0,none
WK0008277,2,1,0.49,2,0.052,121,0.071,0.234,0.219,0,0.083,0.227,0.209,0.085,0.175,0.982,0.171,0.085,0.152,0.085,0,none
WK0008278,1,0,0.222,0,0.31,7,-0.003,0.226,0.177,1,0.211,0.077,0.12,0.013,0.093,0.875,0.088,0.278,0.095,0.033,0,none
WK0008279,3,0,-0.247,2,0.064,63,0.144,0.134,0.341,0,0.186,0.197,0.129,0.084,0.134,0.94,0.042,0.13,0.151,0.128,0,none
WK0008280,4,1,-1.49,2,0.196,71,-0.132,0.122,0.341,0,0.004,0.156,0.053,0.105,0.142,0.849,0.036,0.259,0.027,0.14,0,none
WK0008281,5,1,-1.083,2,0.049,140,0.309,0.038,0.1,1,0.14,0.013,0.186,0.128,0.139,0.825,0.155,0.208,0.11,0.2,0,none
WK0008282,1,1,1.522,2,0.005,46,0.243,0.076,0.226,1,0.114,0.208,0.05,0.109,0.014,0.886,0.043,0.05,0.171,0.074,0,none
WK0008283,3,1,-0.463,0,0.105,11,-0.205,0.142,0.226,1,0.163,0.018,0.169,0.102,0.108,0.934,0.103,0.128,0.173,0.115,0,none
WK0008284,3,0,0.107,1,0.048,181,-0.215,0.032,0.147,1,0.168,0.119,0.003,0.019,0.014,0.927,0.031,0.102,0.166,0.219,0,none
WK0008285,2,2,-0.931,0,0.129,65,-0.028,0.078,0.286,1,0.022,0.16,0.022,0.097,0.049,0.831,0.111,0.225,0.045,0.164,0,none
WK0008286,3,0,1.18,2,0.173,161,0.254,0.259,0.19,0,0.102,0.063,0.024,0.019,0.064,0.9,0.179,0.238,0.012,0.19,0,none
WK0008287,1,1,-0.316,1,0.178,140,0.171,0.226,0.135,0,0.062,0.019,0.136,0.038,0.096,0.915,0.179,0.247,0.134,0.034,0,none
WK0008288,2,0,-1.451,2,0.002,68,-0.128,0.241,0.167,1,0.029,0.038,0.026,0.106,0.002,0.981,0.046,0.197,0.069,0.175,0,none
WK0008289,3,1,2.119,2,0.105,150,-0.084,0.06,0.336,1,0.111,0.203,0.076,0.056,0.124,0.838,0.086,0.074,0.121,0.188,0,none
WK0008290,1,3,-1.733,1,0.015,114,-0.277,0.093,0.308,1,0.118,0.251,0.215,0.054,0.027,0.911,0.037,0.01,0.136,0.225,0,none
WK0008291,5,1,0.544,2,0.109,155,-0.24,0.221,0.34,1,0.071,0.248,0.06,0.074,0.089,0.86,0.16,0.263,0.179,0.216,0,none
WK0008292,5,1,-1.601,2,0.05,98,0.178,0.198,0.024,1,0.103,0.16,0.094,0.081,0.037,0.847,0.155,0.047,0.125,0.08,0,none
WK0008293,5,2,0.971,2,0.393,158,-0.061,0.121,0.048,0,0.188,0.047,0.152,0.022,0.109,0.938,0.158,0.077,0.054,0.205,0,none
WK0008294,1,0,0.893,1,0.057,148,0.092,0.255,0.255,1,0.072,0.27,0.21,0.016,0.049,0.853,0.029,0.14,0.025,0.005,0,none
WK0008295,4,0,-0.634,2,0.048,70,0.223,0.174,0.267,1,0.208,0.112,0.013,0.06,0.095,0.908,0.096,0.118,0.093,0.063,0,none
WK0008296,2,11,2.859,2,0.867,57,-0.021,0.993,0.206,1,0.21,0.206,0.01,0.088,0.136,0.174,0.037,0.221,0.072,0.083,1,fake_rain_claim
WK0008297,1,6,5.028,1,0.814,184,-0.199,0.998,0.085,1,0.028,0.198,0.106,0.093,0.156,0.16,0.146,0.208,0.101,0.114,1,fake_rain_claim
WK0008298,2,0,0.389,0,0.013,91,-0.328,0.183,0.091,1,0.021,0.124,0.177,0.115,0.09,0.901,0.05,0.176,0.142,0.168,0,none
WK0008299,1,0,-0.332,2,0.297,83,0.048,0.206,0.234,0,0.126,0.127,0.21,0.065,0.149,0.848,0.057,0.165,0.075,0.031,0,none
WK0008300,4,2,-2.244,2,0.289,80,-0.023,0.148,0.129,1,0.216,0.264,0.177,0.015,0.152,0.9,0.178,0.234,0.115,0.158,0,none
WK0008301,1,1,-1.063,1,0.122,32,-0.288,0.117,0.023,0,0.069,0.121,0.087,0.089,0.076,0.987,0.04,0.156,0.096,0.064,0,none
WK0008302,1,0,0.477,0,0.003,26,-0.294,0.158,0.313,0,0.235,0.168,0.213,0.01,0.142,0.901,0.157,0.182,0.054,0.239,0,none
WK0008303,3,0,-0.635,2,0.248,177,-0.371,0.215,0.014,1,0.16,0.05,0.025,0.007,0.155,0.925,0.152,0.08,0.031,0.232,0,none
WK0008304,2,1,1.306,2,0.072,97,0.149,0.142,0.236,0,0.005,0.018,0.03,0.022,0.143,0.831,0.164,0.08,0.027,0.045,0,none
WK0008305,3,0,0.532,2,0.052,81,-0.103,0.265,0.017,0,0.05,0.048,0.158,0.103,0.135,0.912,0.129,0.28,0.143,0.198,0,none
WK0008306,3,1,1.575,0,0.135,177,-0.049,0.021,0.26,0,0.165,0.24,0.079,0.063,0.084,0.813,0.133,0.149,0.076,0.082,0,none
WK0008307,2,2,0.411,0,0.006,198,0.011,0.114,0.373,0,0.124,0.186,0.209,0.139,0.005,0.987,0.129,0.2,0.114,0.237,0,none
WK0008308,2,0,-0.273,1,0.226,84,0.173,0.065,0.197,1,0.154,0.178,0.019,0.046,0.126,0.807,0.151,0.004,0.003,0.102,0,none
WK0008309,2,1,-0.814,0,0.085,27,0.313,0.012,0.12,1,0.029,0.241,0.061,0.106,0.054,0.94,0.155,0.197,0.053,0.129,0,none
WK0008310,3,0,1.338,1,0.116,128,0.273,0.077,0.332,0,0.089,0.018,0.021,0.04,0.066,0.935,0.128,0.004,0.166,0.036,0,none
WK0008311,2,0,-0.963,0,0.034,134,-0.047,0.035,0.087,1,0.032,0.133,0.027,0.096,0.068,0.96,0.06,0.084,0.137,0.227,0,none
WK0008312,2,0,-0.355,1,0.128,195,0.135,0.138,0.088,0,0.202,0.218,0.049,0.128,0.012,0.98,0.144,0.191,0.128,0.134,0,none
WK0008313,5,2,-0.3,0,0.026,100,-0.196,0.137,0.094,0,0.056,0.031,0.002,0.004,0.081,0.965,0.063,0.273,0.169,0.045,0,none
WK0008314,3,0,-0.396,0,0.009,65,-0.223,0.041,0.27,1,0.078,0.184,0.154,0.04,0.043,0.886,0.076,0.073,0.016,0.064,0,none
WK0008315,1,2,-1.738,0,0.021,181,0.005,0.227,0.318,1,0.12,0.03,0.187,0.124,0.005,0.933,0.069,0.213,0.022,0.085,0,none
WK0008316,1,2,-0.273,2,0.151,175,-0.091,0.231,0.225,1,0.002,0.208,0.103,0.047,0.036,0.817,0.079,0.242,0.082,0.138,0,none
WK0008317,2,1,-0.612,2,0.108,128,-0.156,0.031,0.178,1,0.17,0.279,0.148,0.098,0.068,0.972,0.157,0.128,0.16,0.05,0,none
WK0008318,1,1,0.45,1,0.079,36,-0.045,0.165,0.355,1,0.144,0.181,0.149,0.069,0.18,0.951,0.137,0.165,0.04,0.127,0,none
WK0008319,5,1,-0.233,0,0.022,48,0.126,0.2,0.317,0,0.211,0.067,0.083,0.085,0.146,0.875,0.158,0.279,0.082,0.002,0,none
WK0008320,1,1,0.065,1,0.017,93,0.163,0.26,0.256,0,0.15,0.186,0.061,0.128,0.129,0.837,0.066,0.067,0.014,0.17,0,none
WK0008321,5,1,-0.255,0,0.062,117,-0.268,0.21,0.217,1,0.116,0.28,0.084,0.014,0.024,0.8,0.144,0.045,0.004,0.208,0,none
WK0008322,2,19,-0.963,1,0.171,24,-0.026,0.118,0.13,1,0.17,0.194,0.07,0.986,0.031,0.831,0.084,0.938,0.016,0.016,1,duplicate_claim
WK0008323,3,1,0.672,1,0.046,127,0.012,0.172,0.211,0,0.116,0.224,0.044,0.068,0.094,0.895,0.067,0.14,0.083,0.16,0,none
WK0008324,2,0,1.662,2,0.001,187,-0.278,0.01,0.198,0,0.176,0.099,0.205,0.113,0.023,0.954,0.163,0.174,0.172,0.003,0,none
WK0008325,2,2,-0.338,0,0.05,136,0.01,0.214,0.001,0,0.204,0.051,0.118,0.119,0.18,0.902,0.139,0.164,0.179,0.029,0,none
WK0008326,1,0,-0.785,0,0.122,92,-0.135,0.248,0.279,0,0.117,0.033,0.232,0.062,0.085,0.826,0.101,0.174,0.167,0.09,0,none
WK0008327,5,2,-1.112,0,0.011,6,0.016,0.228,0.152,0,0.038,0.25,0.222,0.083,0.164,0.967,0.128,0.219,0.144,0.157,0,none
WK0008328,2,2,-0.613,2,0.017,150,0.105,0.145,0.378,1,0.037,0.233,0.09,0.021,0.072,0.987,0.034,0.205,0.042,0.117,0,none
WK0008329,3,0,0.991,0,0.064,79,-0.29,0.171,0.163,0,0.188,0.274,0.026,0.072,0.065,0.972,0.102,0.194,0.013,0.214,0,none
WK0008330,2,0,-1.637,0,0.237,135,-0.194,0.018,0.342,0,0.118,0.272,0.159,0.019,0.044,0.967,0.156,0.093,0.009,0.193,0,none
WK0008331,4,1,-0.49,1,0.049,158,-0.028,0.066,0.261,0,0.214,0.222,0.101,0.001,0.094,0.884,0.052,0.059,0.046,0.077,0,none
WK0008332,4,0,1.103,2,0.124,22,-0.021,0.178,0.216,0,0.015,0.01,0.167,0.015,0.17,0.831,0.138,0.069,0.109,0.154,0,none
WK0008333,1,0,1.032,2,0.022,164,0.112,0.03,0.178,0,0.215,0.05,0.218,0.029,0.088,0.984,0.059,0.157,0.133,0.224,0,none
WK0008334,3,0,0.734,0,0.017,198,0.263,0.223,0.03,0,0.092,0.17,0.209,0.04,0.047,0.983,0.027,0.267,0.04,0.08,0,none
WK0008335,3,1,0.734,1,0.1,22,0.173,0.099,0.37,1,0.191,0.04,0.041,0.052,0.176,0.932,0.107,0.003,0.002,0.146,0,none
WK0008336,5,2,-1.321,1,0.027,119,0.329,0.123,0.037,1,0.108,0.171,0.039,0.012,0.103,0.887,0.068,0.223,0.071,0.185,0,none
WK0008337,1,0,-0.158,0,0.02,55,-0.051,0.044,0.226,1,0.228,0.268,0.147,0.123,0.127,0.81,0.057,0.026,0.171,0.162,0,none
WK0008338,2,1,2.062,2,0.448,15,-0.204,0.256,0.259,0,0.05,0.104,0.187,0.076,0.112,0.85,0.017,0.216,0.017,0.093,0,none
WK0008339,3,2,-0.156,2,0.063,5,0.192,0.176,0.153,0,0.081,0.255,0.075,0.051,0.096,0.895,0.016,0.081,0.132,0.036,0,none
WK0008340,3,1,0.362,1,0.204,120,-0.013,0.185,0.016,0,0.024,0.272,0.185,0.088,0.059,0.951,0.172,0.051,0.147,0.164,0,none
WK0008341,2,0,0.123,1,0.014,59,-0.221,0.146,0.037,0,0.147,0.076,0.074,0.031,0.046,0.933,0.043,0.05,0.12,0.219,0,none
WK0008342,3,0,1.681,0,0.017,131,-0.095,0.14,0.018,0,0.199,0.137,0.123,0.094,0.115,0.964,0.024,0.049,0.152,0.052,0,none
WK0008343,4,0,-2.461,2,0.037,170,-0.287,0.094,0.222,0,0.059,0.176,0.126,0.137,0.043,0.9,0.124,0.266,0.06,0.219,0,none
WK0008344,3,1,-0.88,2,0.052,133,-0.142,0.178,0.372,1,0.207,0.165,0.223,0.113,0.084,0.949,0.039,0.069,0.088,0.019,0,none
WK0008345,4,2,0.315,1,0.123,121,-0.073,0.263,0.176,0,0.124,0.064,0.187,0.117,0.085,0.891,0.054,0.13,0.147,0.028,0,none
WK0008346,4,1,1.191,2,0.036,79,0.123,0.278,0.088,1,0.232,0.19,0.09,0.097,0.001,0.899,0.105,0.27,0.039,0.061,0,none
WK0008347,1,2,0.064,2,0.069,76,-0.238,0.279,0.348,0,0.138,0.059,0.047,0.002,0.004,0.875,0.009,0.039,0.116,0.005,0,none
WK0008348,5,1,-0.618,1,0.015,181,0.548,0.146,0.174,1,0.026,0.185,0.193,0.04,0.079,0.978,0.105,0.206,0.026,0.14,0,none
WK0008349,1,1,-0.263,1,0.301,11,0.298,0.068,0.16,1,0.14,0.187,0.226,0.018,0.144,0.905,0.167,0.182,0.105,0.167,0,none
WK0008350,1,2,1.175,2,0.136,15,-0.111,0.103,0.23,0,0.092,0.165,0.139,0.079,0.16,0.86,0.158,0.215,0.052,0.146,0,none
WK0008351,3,0,0.453,0,0.16,78,-0.193,0.097,0.865,8,0.65,0.019,0.204,0.053,0.851,0.804,0.151,0.24,0.007,0.13,1,fraud_ring
WK0008352,4,11,-0.469,0,0.074,92,0.106,0.069,0.236,1,0.035,0.165,0.154,0.734,0.091,0.934,0.008,0.887,0.0,0.165,1,duplicate_claim
WK0008353,2,1,-0.966,2,0.154,6,0.186,0.009,0.068,0,0.12,0.16,0.013,0.034,0.117,0.98,0.006,0.259,0.166,0.157,0,none
WK0008354,1,2,0.609,2,0.035,193,0.058,0.159,0.282,0,0.126,0.198,0.153,0.087,0.033,0.937,0.055,0.123,0.057,0.033,0,none
WK0008355,1,0,1.578,2,0.002,31,-0.24,0.067,0.354,1,0.04,0.145,0.143,0.084,0.135,0.824,0.112,0.108,0.139,0.032,0,none
WK0008356,2,1,0.41,1,0.016,40,0.07,0.035,0.317,1,0.137,0.275,0.055,0.009,0.013,0.906,0.154,0.057,0.018,0.126,0,none
WK0008357,3,1,-1.864,1,0.075,61,0.168,0.128,0.839,3,0.873,0.174,0.135,0.052,0.964,0.928,0.098,0.127,0.132,0.222,1,fraud_ring
WK0008358,4,1,-0.434,2,0.035,164,0.061,0.228,0.294,1,0.082,0.131,0.127,0.117,0.139,0.894,0.049,0.108,0.075,0.22,0,none
WK0008359,1,0,1.521,1,0.219,81,-0.326,0.11,0.191,1,0.175,0.205,0.202,0.05,0.146,0.805,0.154,0.088,0.0,0.107,0,none
WK0008360,4,6,4.52,0,0.761,145,-0.301,0.656,0.21,1,0.215,0.184,0.072,0.065,0.063,0.043,0.049,0.13,0.115,0.023,1,fake_rain_claim
WK0008361,5,2,-0.026,1,0.012,45,-0.225,0.063,0.023,1,0.188,0.119,0.117,0.087,0.029,0.895,0.123,0.107,0.093,0.22,0,none
WK0008362,3,3,0.321,1,0.028,29,-0.269,0.148,0.144,0,0.055,0.206,0.133,0.078,0.007,0.953,0.056,0.268,0.033,0.179,0,none
WK0008363,1,0,-1.331,1,0.021,122,0.175,0.057,0.136,1,0.03,0.236,0.185,0.052,0.001,0.937,0.1,0.085,0.177,0.062,0,none
WK0008364,4,1,1.103,0,0.067,143,-0.143,0.236,0.097,0,0.01,0.011,0.222,0.021,0.002,0.929,0.012,0.054,0.073,0.231,0,none
WK0008365,1,0,-0.451,1,0.024,97,0.183,0.255,0.375,1,0.188,0.104,0.097,0.032,0.062,0.997,0.14,0.041,0.026,0.114,0,none
WK0008366,3,1,-3.214,1,0.126,40,0.344,0.034,0.266,0,0.172,0.004,0.026,0.01,0.132,0.992,0.098,0.271,0.083,0.089,0,none
WK0008367,1,0,0.502,0,0.208,180,-0.075,0.221,0.047,1,0.087,0.207,0.129,0.078,0.172,0.843,0.06,0.238,0.006,0.063,0,none
WK0008368,2,0,-0.653,0,0.129,50,0.217,0.24,0.348,1,0.077,0.114,0.198,0.107,0.019,0.905,0.068,0.231,0.046,0.027,0,none
WK0008369,2,0,-0.43,1,0.114,106,-0.075,0.221,0.288,0,0.097,0.197,0.098,0.117,0.014,0.898,0.056,0.211,0.086,0.046,0,none
WK0008370,2,0,-0.683,2,0.168,11,-0.022,0.27,0.369,0,0.216,0.192,0.055,0.003,0.002,0.932,0.106,0.209,0.064,0.194,0,none
WK0008371,5,1,0.579,2,0.011,180,-0.36,0.238,0.244,1,0.068,0.255,0.238,0.035,0.132,0.811,0.111,0.27,0.125,0.001,0,none
WK0008372,5,0,-1.015,1,0.186,77,-0.237,0.122,0.243,0,0.166,0.229,0.032,0.093,0.012,0.959,0.05,0.125,0.161,0.07,0,none
WK0008373,3,1,0.708,1,0.061,173,-0.189,0.186,0.295,1,0.03,0.184,0.232,0.009,0.075,0.925,0.007,0.224,0.159,0.138,0,none
WK0008374,1,0,0.959,2,0.23,58,-0.109,0.112,0.107,1,0.117,0.116,0.152,0.091,0.086,0.966,0.145,0.163,0.07,0.003,0,none
WK0008375,4,3,-1.257,1,0.066,22,-0.366,0.223,0.058,1,0.054,0.279,0.018,0.03,0.171,0.8,0.115,0.274,0.172,0.016,0,none
WK0008376,2,1,-0.136,2,0.024,136,0.055,0.199,0.131,0,0.066,0.131,0.128,0.011,0.122,0.842,0.176,0.12,0.153,0.183,0,none
WK0008377,1,0,0.949,0,0.085,152,-0.105,0.102,0.252,0,0.195,0.108,0.114,0.021,0.008,0.899,0.105,0.128,0.041,0.039,0,none
WK0008378,4,0,0.522,0,0.02,72,-0.066,0.192,0.246,1,0.119,0.267,0.03,0.112,0.063,0.926,0.067,0.018,0.126,0.163,0,none
WK0008379,5,0,0.402,1,0.014,159,-0.092,0.073,0.123,0,0.038,0.174,0.209,0.106,0.064,0.817,0.078,0.041,0.14,0.175,0,none
WK0008380,5,3,0.725,1,0.087,88,0.082,0.11,0.097,0,0.152,0.016,0.183,0.123,0.177,0.922,0.077,0.148,0.146,0.016,0,none
WK0008381,3,1,-0.029,1,0.104,100,-0.254,0.077,0.103,1,0.004,0.255,0.131,0.047,0.092,0.904,0.084,0.251,0.092,0.112,0,none
WK0008382,5,1,-1.758,0,0.11,87,0.138,0.159,0.196,0,0.189,0.226,0.155,0.068,0.125,0.852,0.091,0.28,0.166,0.057,0,none
WK0008383,1,0,-0.657,2,0.085,68,-0.237,0.242,0.357,1,0.197,0.184,0.195,0.022,0.067,0.882,0.096,0.224,0.144,0.114,0,none
WK0008384,4,0,0.366,0,0.039,194,-0.186,0.048,0.213,1,0.172,0.185,0.118,0.0,0.13,0.844,0.111,0.234,0.162,0.105,0,none
WK0008385,4,1,-0.115,2,0.077,35,-0.339,0.184,0.015,1,0.193,0.258,0.159,0.049,0.004,0.912,0.105,0.104,0.131,0.082,0,none
WK0008386,2,0,1.447,2,0.006,103,0.167,0.089,0.318,0,0.13,0.268,0.029,0.121,0.176,0.871,0.095,0.091,0.027,0.229,0,none
WK0008387,5,0,0.756,2,0.001,168,0.163,0.232,0.144,1,0.001,0.267,0.099,0.129,0.025,0.885,0.021,0.22,0.114,0.004,0,none
WK0008388,3,0,-0.592,2,0.19,125,0.184,0.259,0.033,0,0.209,0.192,0.23,0.115,0.064,0.912,0.06,0.27,0.125,0.045,0,none
WK0008389,4,0,1.766,2,0.119,194,-0.183,0.122,0.115,1,0.045,0.081,0.217,0.08,0.104,0.852,0.079,0.164,0.104,0.094,0,none
